City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
330,cervo,43.6702,-7.4101,11.65,74,33,4.52,ES,1680378427
331,santiago del estero,-27.7951,-64.2615,19.5,48,100,2.08,AR,1680378178
332,manggar,-2.8833,108.2667,25.41,83,50,1.05,ID,1680378427
333,great yarmouth,52.6083,1.7305,7.14,91,100,8.95,GB,1680378427
334,pundaguitan,6.3711,126.1689,26.73,80,100,2.54,PH,1680378197
335,sisimiut,66.9395,-53.6735,-10.65,71,17,4.23,GL,1680378428
336,araxa,-19.5933,-46.9406,24.07,70,88,2.93,BR,1680378064
337,kahului,20.8947,-156.47,26.58,70,20,2.24,US,1680378428
338,tungor,53.3808,142.9564,-2.55,91,20,3.75,RU,1680378428
339,pemba,-12.974,40.5178,25.39,88,75,4.12,MZ,1680378428
340,maraba,-5.3686,-49.1178,31.1,66,40,2.06,BR,1680378428
341,sorland,67.667,12.6934,1.92,57,17,5.86,NO,1680378130
342,aleksandrov gay,50.147,48.5704,7.52,64,100,5.13,RU,1680378428
343,bela,25.9333,81.9833,21.62,63,2,0.98,IN,1680378429
344,korla,41.7597,86.1469,6.35,18,0,3.71,CN,1680378145
345,biltine,14.5333,20.9167,28.13,12,80,4.72,TD,1680378092
346,hirara,24.8,125.2833,20.92,83,100,6.17,JP,1680378205
347,christchurch,-43.5333,172.6333,17.49,72,100,1.03,NZ,1680378266
348,lazaro cardenas,17.9583,-102.2,29.6,47,30,5.0,MX,1680378192
349,rio gallegos,-51.6226,-69.2181,14.03,38,40,12.35,AR,1680377969
350,kulhudhuffushi,6.6221,73.07,28.75,61,86,2.62,MV,1680378429
351,tadine,-21.55,167.8833,25.83,82,5,3.2,NC,1680378429
352,waspan,14.7419,-83.9717,33.07,38,11,5.29,NI,1680378429
353,vila franca do campo,37.7167,-25.4333,18.23,86,100,6.43,PT,1680378115
354,tilichiki,60.4667,166.1,-10.54,97,87,1.63,RU,1680378072
355,horsham,51.064,-0.3272,9.84,77,75,4.63,GB,1680378387
356,mandan,46.8267,-100.8896,3.78,72,0,5.66,US,1680378430
357,iberia,29.9502,-91.7507,32.04,35,20,4.63,US,1680378430
358,gat,31.61,34.7642,14.34,100,0,1.97,IL,1680378110
359,auki,-8.7676,160.7034,25.68,85,100,0.55,SB,1680378430
360,sukhumi,43.0033,41.0153,6.74,77,3,2.35,GE,1680378298
361,maneadero,31.7167,-116.5667,16.72,70,51,1.79,MX,1680378431
362,bilibino,68.0546,166.4372,-27.06,100,99,0.74,RU,1680378172
363,kipushi,-11.7667,27.2333,14.79,99,100,1.44,CD,1680378431
364,florence,43.7667,11.25,13.62,76,20,2.06,IT,1680378202
365,sokoto,13.0609,5.239,29.93,9,100,4.54,NG,1680378431
